TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
WN,2033,Backstop,SIMPLICITY,1,0.18031840647
WN,2033,GasExtraction,SIMPLICITY,1,1.0002
WN,2033,GasImport,SIMPLICITY,1,0.7768351026199999
WN,2033,NGCC,SIMPLICITY,1,0.8920858981699998
WN,2033,TD,SIMPLICITY,1,0.8920858981699998
WN,2034,Backstop,SIMPLICITY,1,0.2983403228
WN,2034,GasExtraction,SIMPLICITY,1,1.0002
WN,2034,GasImport,SIMPLICITY,1,0.58681522291
WN,2034,NGCC,SIMPLICITY,1,0.79669439035
WN,2034,TD,SIMPLICITY,1,0.79669439035
WN,2035,Backstop,SIMPLICITY,1,0.4147117590999999
WN,2035,GasExtraction,SIMPLICITY,1,1.0002
WN,2035,GasImport,SIMPLICITY,1,0.39606249666
WN,2035,NGCC,SIMPLICITY,1,0.7009349923
WN,2035,TD,SIMPLICITY,1,0.7009349923
WN,2036,Backstop,SIMPLICITY,1,0.48750434804
WN,2036,GasExtraction,SIMPLICITY,1,1.0002
WN,2036,GasImport,SIMPLICITY,1,0.3071719221
WN,2036,NGCC,SIMPLICITY,1,0.6563112026599999
WN,2036,TD,SIMPLICITY,1,0.6563112026599999
WN,2037,Backstop,SIMPLICITY,1,0.5644231954
WN,2037,GasExtraction,SIMPLICITY,1,1.0002
WN,2037,GasImport,SIMPLICITY,1,0.22011348056
WN,2037,NGCC,SIMPLICITY,1,0.6126071636
WN,2037,TD,SIMPLICITY,1,0.6126071636
WN,2038,Backstop,SIMPLICITY,1,0.6570976099099999
WN,2038,GasExtraction,SIMPLICITY,1,1.0002
WN,2038,GasImport,SIMPLICITY,1,0.097921233664
WN,2038,NGCC,SIMPLICITY,1,0.5512656810900001
WN,2038,TD,SIMPLICITY,1,0.5512656810900001
WN,2039,Backstop,SIMPLICITY,1,0.7537446187800001
WN,2039,GasExtraction,SIMPLICITY,1,0.96969591707
WN,2039,NGCC,SIMPLICITY,1,0.4867951395599999
WN,2039,TD,SIMPLICITY,1,0.4867951395599999
WN,2040,Backstop,SIMPLICITY,1,0.8625273876499998
WN,2040,GasExtraction,SIMPLICITY,1,0.8430827828399998
WN,2040,NGCC,SIMPLICITY,1,0.42323432994
WN,2040,TD,SIMPLICITY,1,0.42323432994
